direction_variance,backtracking_ratio,path_efficiency,loop_score,movement_entropy,speed_stability,stop_frequency,elevation_change,terrain_slope,label,label_name
0.007067047313397912,0.0,0.9928463096334277,1.0,0.05734564978437126,0.920827806219851,0.0,77.54732130667958,16.455852760540697,0,SAFE
0.7960598399970689,0.34210526315789475,0.12545229424414073,1.0,0.9139344193127332,0.5541736965693852,0.35,231.2650178980607,46.61950434261024,2,DISORIENTED
0.01005427081383381,0.0,0.9902302899190255,1.0,0.05734564978437126,0.8963990564220113,0.0,56.91213669283013,12.143276296165984,0,SAFE
0.7201152451079442,0.2894736842105263,0.5401089464963358,1.0,0.7094480358217061,0.6058596305104313,0.225,161.46047972999702,30.74822782111649,1,CAUTION
0.009158820322018868,0.0,0.9908754241394931,1.0,0.2440222300310646,0.9061328035563071,0.0,87.17632261006707,18.301113439370436,0,SAFE
0.6338960653466695,0.23684210526315788,0.11744575950432587,1.0,0.8388311933012459,0.5261214450636865,0.425,221.84229020047724,40.64061212039191,2,DISORIENTED
0.008512268188581862,0.0,0.9915712610821069,1.0,0.0,0.9053039409081324,0.0,72.12429241900145,15.032992229254118,0,SAFE
0.006227828235592758,0.0,0.9937056153158579,1.0,0.22631796650619193,0.9102431848193985,0.0,77.69470426851206,15.831047653387927,0,SAFE
0.010910047707881176,0.0,0.9894596809611924,1.0,0.09727275219962861,0.8949166855708977,0.0,86.25754525484996,18.64267282135258,0,SAFE
0.009459974009598082,0.0,0.9900008611000878,1.0,0.05734564978437126,0.9063878688746803,0.0,86.45524093534391,17.919018949227354,0,SAFE
0.008328070275305466,0.0,0.9917727938760977,1.0,0.2860769308803804,0.913238422155885,0.0,74.5584876232665,15.83947826635719,0,SAFE
0.38718485782675804,0.13157894736842105,0.6103026247114663,1.0,0.7791823021143091,0.6730258829704232,0.125,154.3938324229506,34.920476473704696,1,CAUTION
